Age,Year,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P
40.0,1995.0,Dec,2,Tuesday,Pontiac,Urban,Thursday,Jan,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
42.0,1994.0,Aug,2,Thursday,Chevrolet,Urban,Monday,Sep,2,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,14,400,2,more than 30,more than 30,1,7 years,36 to 40,No,Yes,External,more than 5,no change,1 vehicle,Collision,0
49.0,1996.0,May,5,Friday,Toyota,Urban,Wednesday,Jun,4,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,11,400,4,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,0
42.01406,1994.0,Oct,1,Monday,Mazda,Urban,Wednesday,Oct,1,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,14,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,0
47.0,1995.0,Sep,3,Monday,Mazda,Urban,Tuesday,Sep,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,0
0.0,1994.0,Jul,5,Thursday,Honda,Urban,Wednesday,Jul,3,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,1,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,0
0.0,1996.0,Apr,5,Sunday,Honda,Urban,Wednesday,Apr,5,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,16,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,0
27.0,1995.0,Jul,2,Wednesday,Pontiac,Urban,Tuesday,Jul,3,Female,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,All Perils,0
28.0,1995.0,May,2,Friday,Honda,Urban,Tuesday,May,2,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,15,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1
39.0,1994.0,Sep,3,Thursday,Pontiac,Urban,Tuesday,Sep,2,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,4,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
32.85374,1994.0,Oct,5,Tuesday,Pontiac,Urban,Tuesday,Oct,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,15,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
33.0,1995.0,Nov,3,Saturday,Pontiac,Urban,Thursday,Nov,1,Male,Single,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,4,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
33.0,1994.0,Sep,4,Saturday,Toyota,Urban,Tuesday,Sep,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
34.0,1995.0,Oct,4,Thursday,Chevrolet,Urban,Monday,Oct,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,15,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
32.0,1994.0,Mar,3,Saturday,Honda,Urban,Monday,Apr,2,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,9,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,3 to 4,Collision,0
33.0,1996.0,Feb,3,Tuesday,Toyota,Urban,Thursday,Feb,2,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,8,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
30.0,1994.0,Jan,2,Friday,Honda,Urban,Wednesday,Jan,4,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,10,400,2,more than 30,more than 30,none,3 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,0
40.0,1996.0,Apr,3,Tuesday,Pontiac,Urban,Monday,Apr,4,Female,Married,Third Party,Sedan - Collision,Sedan,less than 20000,11,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
46.0,1995.0,May,4,Wednesday,Honda,Urban,Friday,Jun,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,15,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,0
49.0,1995.0,Aug,1,Friday,VW,Urban,Monday,Aug,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,2,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,0
55.0,1994.0,Apr,4,Tuesday,Toyota,Urban,Monday,Apr,4,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,2,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,0
47.0,1994.0,Apr,5,Monday,Toyota,Rural,Wednesday,Apr,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,16,400,4,more than 30,more than 30,none,6 years,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,Liability,0
48.0,1995.0,Jun,5,Friday,Mazda,Urban,Monday,Jul,4,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,13,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
32.0,1994.0,May,3,Wednesday,Pontiac,Urban,Wednesday,Jun,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
53.0,1994.0,Dec,2,Thursday,Pontiac,Urban,Thursday,Jan,4,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,11,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,0
55.0,1994.0,Apr,4,Tuesday,Mazda,Rural,Wednesday,Apr,4,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,11,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,0
33.0,1994.0,Aug,3,Monday,Mazda,Urban,Thursday,Aug,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,2,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
28.0,1994.0,Aug,2,Sunday,Toyota,Rural,Tuesday,Aug,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,4,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
41.0,1994.0,Oct,2,Friday,Pontiac,Rural,Wednesday,Oct,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,10,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
33.0,1994.0,Jun,2,Tuesday,Pontiac,Urban,Monday,Apr,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
49.0,1996.0,Oct,3,Thursday,Toyota,Urban,Thursday,Aug,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,7,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,0
31.950417,1996.0,Nov,3,Wednesday,Accura,Urban,Wednesday,Dec,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,15,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
57.0,1996.0,Apr,4,Saturday,Chevrolet,Urban,Monday,Apr,5,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,16,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,0
31.0,1994.0,Aug,4,Monday,Toyota,Urban,Monday,Sep,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,1
28.0,1995.0,Mar,3,Wednesday,Toyota,Urban,Friday,Mar,4,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,2,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,Collision,0
34.0,1994.0,Sep,4,Thursday,Toyota,Rural,Friday,Oct,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,0
51.0,1995.0,Mar,2,Monday,Toyota,Urban,Monday,May,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,14,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
23.441095,1995.0,Jan,1,Thursday,Chevrolet,Urban,Monday,Jan,2,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,14,400,4,more than 30,more than 30,none,6 years,26 to 30,No,No,External,none,no change,1 vehicle,Liability,0
49.0,1996.0,Jan,2,Monday,Pontiac,Urban,Monday,Jan,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,11,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,0
41.0,1994.0,Nov,3,Monday,Toyota,Urban,Wednesday,Nov,5,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,400,3,none,15 to 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,0
27.0,1994.0,Jul,5,Saturday,Pontiac,Urban,Friday,Jul,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,15,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,0
54.0,1995.0,Nov,2,Friday,Toyota,Urban,Friday,Dec,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,9,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
26.0,1996.0,Dec,2,Thursday,Pontiac,Urban,Friday,Dec,2,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,4,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
37.0,1994.0,Jul,1,Saturday,Accura,Urban,Wednesday,Jul,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,0
37.0,1995.0,Apr,1,Friday,Accura,Rural,Friday,Apr,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,12,400,4,more than 30,more than 30,1,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,0
43.0,1996.0,Jun,3,Tuesday,Lexus,Urban,Monday,Jun,2,Male,Married,Third Party,Sedan - Collision,Sport,more than 69000,11,400,4,more than 30,more than 30,1,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,0
28.0,1994.0,Feb,3,Monday,Chevrolet,Urban,Friday,Feb,4,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,15,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
32.11626,1996.0,Nov,4,Tuesday,Honda,Rural,Wednesday,Nov,4,Male,Single,Third Party,Sedan - All Perils,Sedan,40000 to 59000,16,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
30.0,1995.0,Feb,4,Wednesday,Honda,Urban,Wednesday,Mar,1,Female,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,7,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,1
30.0,1994.0,Sep,4,Friday,Pontiac,Urban,Thursday,Oct,1,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
60.0,1995.0,Nov,3,Monday,Pontiac,Urban,Friday,Nov,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,6,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision,0
42.0,1994.0,Oct,4,Thursday,Pontiac,Urban,Friday,Oct,4,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,9,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,0
40.0,1994.0,Feb,1,Friday,Accura,Urban,Tuesday,Feb,1,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,10,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,0
31.0,1994.0,Dec,2,Sunday,Mazda,Urban,Friday,Dec,5,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,6,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,1
26.0,1994.0,Jan,2,Friday,Pontiac,Urban,Thursday,Feb,5,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,6,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,All Perils,0
30.0,1994.0,Jul,3,Thursday,Mazda,Urban,Thursday,Jul,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
42.0,1995.0,Sep,3,Saturday,Toyota,Urban,Monday,Sep,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,7,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,3 to 4,All Perils,0
29.0,1995.0,Jan,3,Sunday,Ford,Rural,Monday,Apr,4,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,7,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
45.0,1996.0,Dec,1,Wednesday,Honda,Urban,Friday,Dec,3,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,16,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,0
51.0,1994.0,Nov,1,Saturday,Pontiac,Urban,Monday,Nov,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,0
33.0,1996.0,Jul,2,Monday,Saab,Rural,Wednesday,Aug,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,2,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,0
29.0,1994.0,Sep,4,Thursday,Toyota,Urban,Friday,Sep,5,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
48.0,1994.0,Dec,4,Monday,Chevrolet,Urban,Tuesday,Mar,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Liability,0
40.0,1996.0,Sep,3,Monday,Honda,Rural,Wednesday,Sep,2,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,1,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,Collision,0
26.0,1995.0,Jan,3,Wednesday,Pontiac,Urban,Thursday,Jan,5,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,4 to 8 years,2 vehicles,Collision,0
23.0,1996.0,Aug,2,Sunday,Honda,Urban,Thursday,Sep,2,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12,500,4,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,1 to 2,2 to 3 years,1 vehicle,Liability,0
44.0,1994.0,Nov,2,Monday,Accura,Urban,Monday,Nov,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,5,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
19.031298,1994.0,Sep,3,Tuesday,Pontiac,Urban,Wednesday,Sep,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,2,400,4,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision,1
32.0,1996.0,Jun,4,Friday,Honda,Urban,Monday,Jun,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
41.0,1995.0,Oct,5,Friday,Mazda,Urban,Wednesday,Oct,5,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,9,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,0
55.0,1994.0,Dec,4,Saturday,Toyota,Rural,Monday,Dec,1,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,13,500,2,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,Collision,0
40.666218,1994.0,Jan,4,Tuesday,Toyota,Urban,Tuesday,Jan,4,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,3 to 4,Liability,0
30.555521,1996.0,Sep,4,Monday,Pontiac,Urban,Monday,Sep,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,16,400,4,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
30.0,1996.0,Feb,2,Wednesday,Toyota,Urban,Monday,Feb,3,Female,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
59.54729,1995.0,Dec,2,Saturday,Pontiac,Urban,Thursday,Dec,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,4,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
43.904644,1995.0,Aug,2,Sunday,Pontiac,Urban,Thursday,Aug,2,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,11,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,0
28.0,1996.0,Jan,3,Sunday,Toyota,Urban,Wednesday,Jan,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
38.0,1996.0,Mar,4,Thursday,Toyota,Urban,Friday,Mar,1,Male,Married,Policy Holder,Sedan - Liability,Sport,40000 to 59000,6,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,Liability,0
64.0,1994.0,May,3,Saturday,Toyota,Rural,Friday,May,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,6,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Collision,0
44.0,1995.0,Dec,3,Tuesday,Toyota,Rural,Monday,Dec,4,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,3,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,0
46.0,1995.0,Jun,1,Monday,Toyota,Urban,Monday,Jun,1,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,9,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,0
36.0,1994.0,May,2,Sunday,Honda,Urban,Friday,May,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,3 to 4,Collision,0
41.0,1994.0,Sep,2,Tuesday,Honda,Urban,Monday,Oct,2,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,15,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,0
43.0,1995.0,Sep,3,Friday,Chevrolet,Urban,Thursday,Sep,4,Male,Married,Third Party,Sedan - Liability,Sport,more than 69000,3,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,0
31.0,1996.0,Oct,2,Sunday,Chevrolet,Urban,Monday,Nov,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8,400,2,more than 30,more than 30,1,4 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
40.0,1996.0,Aug,3,Friday,Pontiac,Urban,Tuesday,Sep,1,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,16,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
22.0,1996.0,May,3,Friday,Chevrolet,Urban,Tuesday,May,3,Female,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,9,400,1,more than 30,more than 30,none,5 years,26 to 30,Yes,No,External,more than 5,no change,1 vehicle,Liability,0
0.0,1994.0,Apr,4,Thursday,Honda,Urban,Friday,Apr,4,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,7,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,0
52.0,1995.0,Aug,2,Thursday,Saab,Urban,Tuesday,Aug,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,3,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,0
23.0,1995.0,Jun,1,Wednesday,Honda,Urban,Thursday,Jun,3,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,7,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,Collision,0
35.0,1994.0,Aug,3,Saturday,Mazda,Urban,Friday,Mar,1,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,6,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,0
28.924353,1995.0,May,3,Saturday,Chevrolet,Urban,Friday,May,3,Female,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
44.0,1994.0,May,1,Monday,Pontiac,Rural,Thursday,Jun,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,0
40.161903,1994.0,Feb,1,Saturday,Toyota,Urban,Tuesday,Mar,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,0
37.0,1996.0,Nov,2,Saturday,Honda,Urban,Monday,Feb,2,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,11,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,0
41.0,1996.0,Nov,1,Sunday,Mazda,Urban,Tuesday,Nov,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,7,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,0
48.0,1996.0,Oct,3,Friday,Mazda,Urban,Monday,Oct,3,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,6,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,0
43.0,1994.0,Mar,2,Sunday,Toyota,Urban,Thursday,Apr,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
33.0,1996.0,Jan,4,Saturday,Pontiac,Urban,Wednesday,Feb,4,Male,Single,Third Party,Sedan - All Perils,Sedan,30000 to 39000,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,0
31.0,1994.0,Nov,3,Wednesday,Honda,Urban,Friday,Dec,1,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,16,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
42.0,1994.0,Jun,3,Wednesday,Chevrolet,Urban,Tuesday,Jan,4,Female,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,9,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
60.672962,1996.0,Jan,1,Friday,Toyota,Rural,Wednesday,Jan,1,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,16,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,3 to 4,Collision,0
31.0,1995.0,Jun,3,Monday,Toyota,Urban,Monday,Jul,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,15,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Collision,1
31.0,1994.0,Oct,3,Monday,Pontiac,Urban,Monday,Oct,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,1
40.32532,1996.0,Nov,2,Thursday,Toyota,Urban,Thursday,Jan,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,7,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,1
